pid,label,site_name,occupied,collection_number,material,description,motifs,teeth,fragmentation,context_type,gender,age,placement,length (cm),width (cm),order,layout,collection,thumbnail,full,manifest
103,Dann,Dann,1655-1675,NYSM 36373,bone,303. Incomplete bone comb. The triangular-shaped handle is decorated with two carved bears back to back. A small perforation is located in the top of the handle. The comb has 14 teeth. It measures 18.6 cm in length and 5.6 cm in width. Its teeth form 22% of the total length of the comb. The comb was found at the seneca Dann site dated from 1655 to 1675 AD. J.-C. (NYSM 36373,triangular; bear; mammal; dual; symmetrical;,14,incomplete,unk,,,,18.6,5.6,102,qatar_item,combs,"/img/derivatives/iiif/images/103/full/250,/0/default.jpg","/img/derivatives/iiif/images/103/full/1140,/0/default.jpg",/img/derivatives/iiif/103/manifest.json
104,Dann,Dann,1655-1675,RMSC 1060-28,bone,"305. Incomplete comb. The handle is carved with two mammiferes facing each other joined by the front legs. The eyes are recreated with the help of punctuations and we see these punctuations on the belly of the animal on the right. The mouths are incised and perhaps ""spiritual lines"" are present. The base of the comb is incised with horizontal lines and semicircles. It is about 5.7 cm long and 3.9 cm wide. Its 17 teeth form 56% of the total length of the comb. It comes from the Dann site a Seneca site dating from 1655-1675 AD. J.-C. (RMSC 1060-$2",mammal; dual; symmetrical;,17,incomplete,unk,,,,5.7,3.9,103,qatar_item,combs,"/img/derivatives/iiif/images/104/full/250,/0/default.jpg","/img/derivatives/iiif/images/104/full/1140,/0/default.jpg",/img/derivatives/iiif/104/manifest.json
105,Dann,Dann,1655-1675,RMSC 5642/28,bone,311. Incomplete comb his 14 teeth are all broken. The effigy handle represents two mammiferes carved face to face muzzles hands and feet together. Its residual length is about 9.5 cm and its width is 5.7 cm. It comes from a burial at the Seneca Dann site dating from 1655-1675 AD. J.-C. (RMSC 5642/28,mammal; dual; symmetrical;,14,incomplete,funerary,,,,9.5,5.7,104,qatar_item,combs,"/img/derivatives/iiif/images/105/full/250,/0/default.jpg","/img/derivatives/iiif/images/105/full/1140,/0/default.jpg",/img/derivatives/iiif/105/manifest.json
106,Dann,Dann,1655-1675,RMSC 582/28,bone,312. Incomplete comb whose carved handle represents the effigy of two mammiferes facing each other separated by a stud. This comb had 17 teeth of which only 3 are still complete. li is about 10.2 cm long and 4.2 cm wide. Its teeth form 35% of its total length. It comes from the seneca Dann site dating from 1655-1675 AD. J.-C. (RMSC 582/28,mammal; dual; column; symmetrical;,17,incomplete,unk,,,,10.2,4.2,105,qatar_item,combs,"/img/derivatives/iiif/images/106/full/250,/0/default.jpg","/img/derivatives/iiif/images/106/full/1140,/0/default.jpg",/img/derivatives/iiif/106/manifest.json
107,Dann,Dann,1655-1675,,bone,318. Complete andouiller comb whose carved handle represents two mammals (foxes?) face to face hands and feet together. It has 12 teeth that make up 20% of the total length of the comb. It comes from the Seneca Dann site dating from 1655-1675 AD (Parker 1920,mammal; dual; symmetrical;,12,complete,unk,,,,,,106,qatar_item,combs,"/img/derivatives/iiif/images/107/full/250,/0/default.jpg","/img/derivatives/iiif/images/107/full/1140,/0/default.jpg",/img/derivatives/iiif/107/manifest.json
108,Dann,Dann,1655-1675,RMSC 13094/28,bone,329. Complete comb the handle of which is carved with the effigy of two indeterminate animals in mirror whose head is turned outwards. Incisions are found on the body of animals. This comb has a xli length of 9.4 cm and a width of 6.7 cm. It has 21 teeth that form 49% of the total length of the comb. It comes from the seneca Dann site where it was found accompanied by copper. This site is dated 1655-1675 AD. J.-C. (RMSC 13094/28,mammal; dual; symmetrical;,21,complete,unk,,,,9.4,6.7,107,qatar_item,combs,"/img/derivatives/iiif/images/108/full/250,/0/default.jpg","/img/derivatives/iiif/images/108/full/1140,/0/default.jpg",/img/derivatives/iiif/108/manifest.json
109,Dann,Dann,1655-1675,RMSC 187/28,bone,333. Fragment of effigy that was to adorn a comb. It represents an animal whose head is turned outwards. It comes from the Dann site a Seneca site dated 1655-1675 AD. J.-C. (RJvISC 187/28,mammal; single;,,fragment,unk,,,,,,108,qatar_item,combs,"/img/derivatives/iiif/images/109/full/250,/0/default.jpg","/img/derivatives/iiif/images/109/full/1140,/0/default.jpg",/img/derivatives/iiif/109/manifest.json
110,Dann,Dann,1655-1675,RMSC 6 192/28,bone,334. Fragment of effigy that was to adorn a comb. It represents the head of an animal whose head is turned outwards It comes from the Dann site a seneca site dated 1655-1675 AD. J.-C. (RMSC 6 192/28,mammal; single;,,fragment,unk,,,,,,109,qatar_item,combs,"/img/derivatives/iiif/images/110/full/250,/0/default.jpg","/img/derivatives/iiif/images/110/full/1140,/0/default.jpg",/img/derivatives/iiif/110/manifest.json
111,Dann,Dann,1655-1675,RMSC 309/28,bone,339. Incomplete comb broken in two. The handle is carved and represents an indeterminate animal in profile. It is broken in two and on each side of the break on its base are perforations perhaps holes used to repair the comb as found on pottery. He has 13 teeth left. It comes from the Dann site a Seneca site dating from 1655-1675 AD. J.-C. (RMSC 309/28,mammal; single;,13,incomplete,unk,,,,,,110,qatar_item,combs,"/img/derivatives/iiif/images/111/full/250,/0/default.jpg","/img/derivatives/iiif/images/111/full/1140,/0/default.jpg",/img/derivatives/iiif/111/manifest.json
112,Dann,Dann,1655-1675,RMSC 843/28,bone,340. Incomplete comb whose carved handle represents an indeterminate animal in profile. Its body and the base of the comb are decorated with many punctuations. The head of the animal is broken. It has a residual length of 4.4 cm and a width of 3.4 cm. He seems to have had 14 teeth. It comes from the seneca Dann site dating from 1655-1675 AD. J.-C. (RMSC 843/28).,mammal; single;,14,incomplete,unk,,,,4.4,3.4,111,qatar_item,combs,"/img/derivatives/iiif/images/112/full/250,/0/default.jpg","/img/derivatives/iiif/images/112/full/1140,/0/default.jpg",/img/derivatives/iiif/112/manifest.json
113,Dann,Dann,1655-1675,RMSC 6191/28,bone,347. Incomplete comb in andouiller very damaged. Its handle is carved with the effigy of an animal in profile. He seems to have had 11 teeth all broken. It has a residual length of 2.5 cm and a width of about 2.8 cm. It comes from the seneca Dann site dating from 1655-1675 AD. J.-C. (RMSC 6191/28,mammal; single;,11,incomplete,unk,,,,2.5,2.8,112,qatar_item,combs,"/img/derivatives/iiif/images/113/full/250,/0/default.jpg","/img/derivatives/iiif/images/113/full/1140,/0/default.jpg",/img/derivatives/iiif/113/manifest.json
114,Dann,Dann,1655-1675,RMSC 780/28,bone,354. fragment of comb in andouiller. He has 12 teeth left. 11 comes from the seneca Dann site dating from 1655-1675 AD. J.-C. (RMSC 780/28,none;,12,fragment,unk,,,,,,113,qatar_item,combs,"/img/derivatives/iiif/images/114/full/250,/0/default.jpg","/img/derivatives/iiif/images/114/full/1140,/0/default.jpg",/img/derivatives/iiif/114/manifest.json
115,Dann,Dann,1655-1675,RMSC 12128,bone,355. Two fragments of a comb in andouiller. He has 14 teeth left. It comes from the Seneca Dann site dating from 1655 to 1675 AD. J.-C. (RMSC $1212,none;,14,fragment,unk,,,,,,114,qatar_item,combs,"/img/derivatives/iiif/images/115/full/250,/0/default.jpg","/img/derivatives/iiif/images/115/full/1140,/0/default.jpg",/img/derivatives/iiif/115/manifest.json
116,Dann,Dann,1655-1675,RMSC 129/28,bone,356. Two fragments of a andouiller comb. He has 7 teeth left. It comes from funerary context (burial # 102) of the seneca Dann site dating from 1655 to 1675 AD. J.-C. (RMSC 129/28,none;,7,fragment,funerary,,,,,,115,qatar_item,combs,"/img/derivatives/iiif/images/116/full/250,/0/default.jpg","/img/derivatives/iiif/images/116/full/1140,/0/default.jpg",/img/derivatives/iiif/116/manifest.json
117,Dann,Dann,1655-1675,RMSC AR 37762,bone,357. Fragment of comb in andouiller. He has 16 teeth left. The base of the comb is incised with chevron patterns and short horizontal lines. It comes from the Seneca Dann site dating from 1655 to 1675 AD. J.-C. (RMSC AR 37762,none;,16,fragment,unk,,,,,,116,qatar_item,combs,"/img/derivatives/iiif/images/117/full/250,/0/default.jpg","/img/derivatives/iiif/images/117/full/1140,/0/default.jpg",/img/derivatives/iiif/117/manifest.json
118,Dann,Dann,1655-1675,RMSC 8782/28,bone,406. Fragment of a comb with double dentition. Its teeth are thinner on one side than on the other. Its base is decorated with a complex pattern circle and various incised lines. It comes from the seneca Dann site dated 1655-1675 AD. J.-C. (RMSC $7$2/2,none;,,fragment,unk,,,,,,117,qatar_item,combs,"/img/derivatives/iiif/images/118/full/250,/0/default.jpg","/img/derivatives/iiif/images/118/full/1140,/0/default.jpg",/img/derivatives/iiif/118/manifest.json
119,Dann,Dann,1655-1675,RMSC 544/28,bone,407. Incomplete double dentition comb. Its base is decorated with oblique lines between horizontal lines It is accompanied by a piece of copper more or less square that have left green spots and fibers or hair are found on this comb. It has a length of 4.2 cm and a residual width of 4.9 cm. It comes from the seneca Dann site dated 16555-1675 AD. J.-C. (RMSC 544/28,none;,,incomplete,unk,,,,4.2,4.9,118,qatar_item,combs,"/img/derivatives/iiif/images/119/full/250,/0/default.jpg","/img/derivatives/iiif/images/119/full/1140,/0/default.jpg",/img/derivatives/iiif/119/manifest.json
120,Dann,Dann,1655-1675,RMSC 4043/28,bone,410. Comb fragment with double bone dentition. It has a perforation at one end. It comes from the seneca Dann site dated 1655-1675 AD. J.-C. (RMSC 4043/28,none;,,fragment,unk,,,,,,119,qatar_item,combs,"/img/derivatives/iiif/images/120/full/250,/0/default.jpg","/img/derivatives/iiif/images/120/full/1140,/0/default.jpg",/img/derivatives/iiif/120/manifest.json
121,Dann,Dann,1655-1675,RMSC 383/28,bone,$41. Incomplete double dentition comb. Its teeth are thinner on one side than on the other. It has 21 and 10 respectively. It has a perforation at one end. This comb has a length of 4.4 cm and a width of 3.7 cm. It comes from the Seneca Dann site dating from 1655-1675 AD. J.-C. (RMSC 393/28,none;,,incomplete,unk,,,,4.4,3.7,120,qatar_item,combs,"/img/derivatives/iiif/images/121/full/250,/0/default.jpg","/img/derivatives/iiif/images/121/full/1140,/0/default.jpg",/img/derivatives/iiif/121/manifest.json
122,Dann,Dann,1655-1675,RMSC 3079/28,bone,423. Incomplete double dentition comb. Its teeth are thinner on one side than on the other It has a residual length of 5.3 cm and a residual width of 4.9 cm. It comes from a funerary context (burial #l973) accompanied by copper from the Seneca Dann site dated 1655-1675 AD. J.-C. (RMSC 3079/28,none;,,incomplete,funerary,,,,5.3,4.9,121,qatar_item,combs,"/img/derivatives/iiif/images/122/full/250,/0/default.jpg","/img/derivatives/iiif/images/122/full/1140,/0/default.jpg",/img/derivatives/iiif/122/manifest.json
123,Dann,Dann,1655-1675,RMSC 394/28,bone,424. double-dentition comb fragment. Its base is decorated with two series of two horizontal lines. It comes from the seneca Daim site dating from 1655-1675 AD. J.-C. (RMSC 394/28),none;,,fragment,unk,,,,,,122,qatar_item,combs,"/img/derivatives/iiif/images/123/full/250,/0/default.jpg","/img/derivatives/iiif/images/123/full/1140,/0/default.jpg",/img/derivatives/iiif/123/manifest.json
124,Dann,Dann,1655-1675,RMSC 394/28,bone,425. Fragment of comb with double dentition. Its base is decorated with two series of two horizontal lines. It comes from the seneca Dann site dated 1655-1675 AD. J.-C. (RMSC 394/28,none;,,fragment,unk,,,,,,123,qatar_item,combs,"/img/derivatives/iiif/images/124/full/250,/0/default.jpg","/img/derivatives/iiif/images/124/full/1140,/0/default.jpg",/img/derivatives/iiif/124/manifest.json
125,Dann,Dann,1655-1675,RMSC 394/28,bone,426. Fragment of comb effigy. It comes from the Suede site a Seneca village dating from 1655 to 1675 AD.C. (RMSC 394/28,none;,,fragment,unk,,,,,,124,qatar_item,combs,"/img/derivatives/iiif/images/125/full/250,/0/default.jpg","/img/derivatives/iiif/images/125/full/1140,/0/default.jpg",/img/derivatives/iiif/125/manifest.json
126,Dann,Dann,1655-1675,RMSC 6193/28,bone,441. Comb fragment. It comes from the Seneca Dann site dating from 1655 to 1675 A.D. (RMSC 6193/28,none;,,fragment,unk,,,,,,125,qatar_item,combs,"/img/derivatives/iiif/images/126/full/250,/0/default.jpg","/img/derivatives/iiif/images/126/full/1140,/0/default.jpg",/img/derivatives/iiif/126/manifest.json
127,Marsh,Marsh,1655-1675,RMSC 5045/99,bone,206. Complete bone comb. He has eight teeth. Its rectangular handle is not decorated. It measures 5.7 cm in length and 3.3 cm in width. Teeth form 55% of the comb. 11 comes from the funerary context of the Marsh site (Seneca) dating from 1655-1675 AD. J.-C. (RMSC 5045/99,none;,8,complete,funerary,,,,5.7,3.3,126,qatar_item,combs,"/img/derivatives/iiif/images/127/full/250,/0/default.jpg","/img/derivatives/iiif/images/127/full/1140,/0/default.jpg",/img/derivatives/iiif/127/manifest.json
128,Marsh,Marsh,1655-1675,RMSC 12059/99,wood,252. Wooden comb incomplete. On its sleeve are carved five human busts possibly representing the Five Iroquois Nations. It is 9.7 cm high and 6.2 cm wide. Its teeth form approximately 36% of its height. It comes from the seneca Marsh site dating from 1655-1675 AD. J.-C. (RMSC 12059/99,human; quintuple; bust;,,incomplete,unk,,,,9.7,6.2,127,qatar_item,combs,"/img/derivatives/iiif/images/128/full/250,/0/default.jpg","/img/derivatives/iiif/images/128/full/1140,/0/default.jpg",/img/derivatives/iiif/128/manifest.json
129,Marsh,Marsh,1655-1675,RMSC 860/99,bone,315. Incomplete comb in andouiller. The carved handle depicts two mammals facing each other possibly wolves separated by a stud. Yellow spots are present on the comb. His teeth are all broken he must have had at least 17. Its residual length is 7.2 cm and its width is 5.1 cm. The comb comes from the seneca Marsh site dating from 1655-1675 AD. J.-C. (RMSC 860/99,mammal; dual; symmetrical; wolf; column;,17,incomplete,unk,,,,7.2,5.1,128,qatar_item,combs,"/img/derivatives/iiif/images/129/full/250,/0/default.jpg","/img/derivatives/iiif/images/129/full/1140,/0/default.jpg",/img/derivatives/iiif/129/manifest.json
130,Marsh,Marsh,1655-1675,RMSC 246/99,bone,344. Incomplete comb in andouiller. Its handle is decorated with an animal effigy in profile whose head is broken. The back of the animal is decorated with a line of punctuations and its tail continues incised in the base. It has a residual length of 5.3 cm and a residual width of 4.2 cm. We still see 12 teeth all broken. It comes from the seneca Marsh site dated to 1655-1675 AD. J.-C. (RMSC 246/99,mammal; single;,12,incomplete,unk,,,,5.3,4.2,129,qatar_item,combs,"/img/derivatives/iiif/images/130/full/250,/0/default.jpg","/img/derivatives/iiif/images/130/full/1140,/0/default.jpg",/img/derivatives/iiif/130/manifest.json
131,Marsh,Marsh,1655-1675,RMSC 6284/99,wood,367. Three fragments of wooden comb. It comes from funerary context (burial #2) of the seneca Marsh site dating from 1655 to 1675 AD. J.-C. (RMSC 6284/99,none;,,fragment,funerary,,,,,,130,qatar_item,combs,"/img/derivatives/iiif/images/131/full/250,/0/default.jpg","/img/derivatives/iiif/images/131/full/1140,/0/default.jpg",/img/derivatives/iiif/131/manifest.json
132,Marsh,Marsh,1655-1675,RMSC 6272/99,bone,409. Four fragments of a bone double dentition comb. Its teeth are thinner on one side than on the other. Its base is decorated with two series of two horizontal lines. It has a perforation at one end. It has a length of 6.2 cm. It comes from funerary context (burial #1) accompanied by copper from the seneca Marsh site dated from 1655 to 1675 AD. J.-C. (RMSC 6272/99,none;,,fragment,funerary,,,,6.2,,131,qatar_item,combs,"/img/derivatives/iiif/images/132/full/250,/0/default.jpg","/img/derivatives/iiif/images/132/full/1140,/0/default.jpg",/img/derivatives/iiif/132/manifest.json
133,Wheeler Station,Wheeler Station,1655-1675,RMSC 1 5060/161,bone,290. Almost complete comb in andouiller only two of its 15 teeth are broken. The carved handle represents two herons face to face whose beaks form a pillar that separates them. The eyes are marked by punctuations. It is about 9.9 cm long and 4.6 cm wide. Its teeth form 39% of its total height. It was found at the Seneca Fox-Voorheer site dating from 1655-1675 AD. J.-C. (RMSC 1 5060/161,bird; dual; heron; symmetrical; column;,,complete,unk,,,,9.9,4.6,132,qatar_item,combs,"/img/derivatives/iiif/images/133/full/250,/0/default.jpg","/img/derivatives/iiif/images/133/full/1140,/0/default.jpg",/img/derivatives/iiif/133/manifest.json
134,Beal,Beal,1670-1687,RMSC 5/98,bone,216. Incomplete comb in andouiller. Undecorated rectangular handle two perforations at the top. The remaining part is 7 cm long and 4.1 cm wide. It comes from the seneca Beal site 1670-1687 AD. J.-C. (RMSC 5/98,none;,,incomplete,unk,,,,7,4.1,133,qatar_item,combs,"/img/derivatives/iiif/images/134/full/250,/0/default.jpg","/img/derivatives/iiif/images/134/full/1140,/0/default.jpg",/img/derivatives/iiif/134/manifest.json
135,Beal,Beal,1670-1687,RMSC 222/98,bone,238. Incomplete comb. Its handle is decorated and depicts a European in a canoe probably in an arch. It had more than 17 teeth forming 32% of its total height. tl has a length of 10 cm and a width of 4.8 cm. It comes from the seneca Beal site dating from 1670 to 1687 AD. J.-C. (RMSC 222/98,human; european; single; canoe; arbor;,17,incomplete,unk,,,,10,4.8,134,qatar_item,combs,"/img/derivatives/iiif/images/135/full/250,/0/default.jpg","/img/derivatives/iiif/images/135/full/1140,/0/default.jpg",/img/derivatives/iiif/135/manifest.json
136,Ganondagan,Ganondagan,1670-1687,NYSM 37262,bone,Incomplete bone comb. Its handle is carved with the effigy of two otters facing each other separated by a large upright. The perimeter of this amount as well as the back of the animals are decorated with punctuations. Its teeth are all broken but numbered at least 23. It has a residual length of 7.8 cm and a width of 5.9 cm. It comes from funerary context of the Seneca site Boughton Hill dated 1670-1687 (NYSM 37262).,mammal; dual; otter; column; symmetrical;,23,incomplete,funerary,,,,7.8,5.9,135,qatar_item,combs,"/img/derivatives/iiif/images/136/full/250,/0/default.jpg","/img/derivatives/iiif/images/136/full/1140,/0/default.jpg",/img/derivatives/iiif/136/manifest.json
137,Ganondagan,Ganondagan,1670-1687,NYSM 37262-2,bone,Bone comb fragment. It has 12 teeth left and has a residual length of 2.7 cm and a residual width of 3.5 cm. It comes from funerary context of the Seneca site Boughton Hill dating from 1670-1687 (NYSM 37262-2).,none;,12,fragment,funerary,,,,2.7,3.5,136,qatar_item,combs,"/img/derivatives/iiif/images/137/full/250,/0/default.jpg","/img/derivatives/iiif/images/137/full/1140,/0/default.jpg",/img/derivatives/iiif/137/manifest.json
138,Ganondagan,Ganondagan,1670-1687,NYSM 71679,bone,Complete but broken comb. Its carved handle represents an indeterminate mammal in profile. The eye is represented by a punctuation. It measures 11cm long and 7.7cm wide. It has 20 teeth which form 44% of its total length. We notice traces made to guide the craftsman before cutting the teeth. It comes from the Boughton Hill site a Seneca village dated 1670-1687 (Kroup et al. 1986: 35). (NYSM 71679),mammal; single;,20,complete,unk,,,,11,7.7,137,qatar_item,combs,"/img/derivatives/iiif/images/138/full/250,/0/default.jpg","/img/derivatives/iiif/images/138/full/1140,/0/default.jpg",/img/derivatives/iiif/138/manifest.json
139,Ganondagan,Ganondagan,1670-1687,NYSM 74842,bone,Almost complete comb made of bone. Its handle is carved and depicts a European in front wearing the tricorn and holding a rifle in his hand as well as an Indian in profile the hand on the shoulder of the European. Their eyes are represented by punctuations and the European's hair by linear incisions. T his comb has a length of 12.5 cm and a width of 7.5 cm. It has 38 teeth that form 28% of its total length. It comes from the funerary context of the Boughton Hill site a Seneca site dated to 1670-1687 AD. J.-C. (NYSM 74842). (Kroup et al. 1986: 40,man; european; hat; rifle; dual; native;,38,complete,funerary,,,,12.5,7.5,138,qatar_item,combs,"/img/derivatives/iiif/images/139/full/250,/0/default.jpg","/img/derivatives/iiif/images/139/full/1140,/0/default.jpg",/img/derivatives/iiif/139/manifest.json
140,Ganondagan,Ganondagan,1670-1687,NYSM 74834,bone,Full comb whose carved handle depicts a European standing in an arch. The features of his face the buttons of his jacket and those of his tricorn are represented by punctuations. The base of the comb is decorated with braces between two horizontal lines. It measures 11.9 cm in length and 6 cm in width. Its 22 teeth form 32% of its total length. It comes from a funerary context from the Seneca Boughton Hill site dated to 1670-1687 AD. J.-C. (NYSM 74834). (Kroup et al. 1986: 39,european; man; arbor; hat; single;,22,complete,funerary,,,,11.9,6,139,qatar_item,combs,"/img/derivatives/iiif/images/140/full/250,/0/default.jpg","/img/derivatives/iiif/images/140/full/1140,/0/default.jpg",/img/derivatives/iiif/140/manifest.json
141,Ganondagan,Ganondagan,1670-1687,NYSM 73832,bone,"Bone comb almost complete (two broken teeth) having had 1$ teeth that form 44% of its total length. tI is 12.4 cm long by 7.5 cm wide. The carved handle depicts four animals in ""double mirror"". The two animals in the center are back to back and the other two outside face those in the center. On central animals there are two punctuations in the center of the abdomen and many horizontal incised lines as well as a line that follows the curve of the back. Incised lines are also found on the base of the handle. Negative spaces between animals form 3 vertical hourglasses. One can see on the teeth the lines that have been drawn to guide the craftsman in his work. This is a seneca comb from the site Boughton Hill 1670-1687 AD. J.-C. (NYSM 73832) (Kroup et al. 1986 32",mammal; quadruple; dual; symmetrical; hourglass;,,complete,unk,,,,12.4,7.5,140,qatar_item,combs,"/img/derivatives/iiif/images/141/full/250,/0/default.jpg","/img/derivatives/iiif/images/141/full/1140,/0/default.jpg",/img/derivatives/iiif/141/manifest.json
142,Ganondagan,Ganondagan,1670-1687,NYSM 35507,bone,"21. Bone comb incomplete. The carved handle depicts two bears facing each other separated by a stud. There are ""spiritual lines"" on the remaining bear and many horizontal incisions on the upright. He must have had more than twenty teeth. Its residual length is 7.3 cm and its residual width is 4.7 cm. It was found at the Seneca Boughton Hill site dating from 1670-1687 AD. J.-C. (NYSM 35507) (Kroup et al. 1986: 36",mammal; dual; bear; column; symmetrical;,20,incomplete,unk,,,,7.3,4.7,141,qatar_item,combs,"/img/derivatives/iiif/images/142/full/250,/0/default.jpg","/img/derivatives/iiif/images/142/full/1140,/0/default.jpg",/img/derivatives/iiif/142/manifest.json
143,Ganondagan,Ganondagan,1670-1687,NYSM 35281,bone,22. Incomplete bone comb. Its 20 teeth are all broken as well as the heads of the two birds carved on the handle. 11 has a residual length of 8.8 cm and a width of 4.6 cm. It comes from the seneca site of Boughton Hill dating from 1670-1687 AD. J.-C. (NYSM 35281),bird; dual; symmetrical;,20,incomplete,unk,,,,8.8,4.6,142,qatar_item,combs,"/img/derivatives/iiif/images/143/full/250,/0/default.jpg","/img/derivatives/iiif/images/143/full/1140,/0/default.jpg",/img/derivatives/iiif/143/manifest.json
144,Ganondagan,Ganondagan,1670-1687,NYSM 35519,bone,23. Incomplete bone comb. The handle is carved with the effigy of two indeterminate animals (a single dwelling) whose head is turned backwards. All his teeth are broken. It has a residual length of 5.7 cm and a width of 5.2 cm. It comes from the Seneca Boughton Hill site dating from 1670-1687 AD. J.-C. (NYSM 35519,mammal; dual; arbor; symmetrical;,,incomplete,unk,,,,5.7,5.2,143,qatar_item,combs,"/img/derivatives/iiif/images/144/full/250,/0/default.jpg","/img/derivatives/iiif/images/144/full/1140,/0/default.jpg",/img/derivatives/iiif/144/manifest.json
145,Ganondagan,Ganondagan,1670-1687,NYSM 74834-2,bone,24. A complete comb whose carved handle depicts a European dressed in a jacket button-down trousers and a tricorn holding a rifle in his hand accompanied by a dog seen in profile with his front legs resting on the man's leg. Its base is decorated with chevron punctuations framed by incised lines. This comb has 17 teeth forming 32% of its total height. It has a length of 9.9 cm and a width of 4.8 cm. It comes from the funerary context of the Seneca site of Boughton Hill dated from 1670 to 1687 AD. J.-C. (NYSM 74834-2). (Kroup et al. 1986 $39,human; european; hat; rifle; dog; single;,17,complete,funerary,,,,9.9,4.8,144,qatar_item,combs,"/img/derivatives/iiif/images/145/full/250,/0/default.jpg","/img/derivatives/iiif/images/145/full/1140,/0/default.jpg",/img/derivatives/iiif/145/manifest.json
146,Ganondagan,Ganondagan,1670-1687,NYSM 74834-3,bone,"25. Complete comb whose handle is decorated with two carved bears back to back separated by a stud and located in an arch. The back of animals is decorated with a line of punctuations The eyes are also represented by punctuation. There are ""spiritual lines"" on the bears on both sides of the comb. The comb is 12.6 cm long and 10.3 cm wide. Its 17 teeth represent 34% of the total length of the comb. It comes from the Seneca Boughton Hill site dated from 1670 to 1687 AD. J.-C. (NYSM 74834-3) (Kroup et al. 1986: 36",mammal; bear; dual; column; arbor; symmetrical;,17,complete,unk,,,,12.6,10.3,145,qatar_item,combs,"/img/derivatives/iiif/images/146/full/250,/0/default.jpg","/img/derivatives/iiif/images/146/full/1140,/0/default.jpg",/img/derivatives/iiif/146/manifest.json
147,Ganondagan,Ganondagan,1670-1687,RMSC 1865/103,bone,66. Draft moose or moose comb. A line was drawn to separate what would have been the handle and the teeth. It measures 11.3 cm by 5.3 cm. This draft comes from Boughton Hill a Seneca site from 1670-1687 AD. J.-C. (RMSC 1865/103). (Kroup et al. 1986: 30),none;,,draft,unk,,,,11.3,5.3,146,qatar_item,combs,"/img/derivatives/iiif/images/147/full/250,/0/default.jpg","/img/derivatives/iiif/images/147/full/1140,/0/default.jpg",/img/derivatives/iiif/147/manifest.json
148,Ganondagan,Ganondagan,1670-1687,RMSC 6406/1 03,bone,67. Draft of a comb in andouiller representing the first step of manufacturing the penalty from a blank: the size of the teeth. This rectangular-shaped comb has 13 teeth most likely cut using metal tools. It has a length of 10.4 cm and a width of 5.1 cm. This comb comes from Bougliton Hill a Seneca site from 1670-1687 AD. J.-C. (RMSC 6406/1 03). (Kroup et al. 1986: 30,none;,13,draft,unk,,,,10.4,5.1,147,qatar_item,combs,"/img/derivatives/iiif/images/148/full/250,/0/default.jpg","/img/derivatives/iiif/images/148/full/1140,/0/default.jpg",/img/derivatives/iiif/148/manifest.json
149,Ganondagan,Ganondagan,1670-1687,RMSC 1175/103,bone,68. Draft andouiller comb representing the refining step of the teeth tapered in the shape of a cone to allow the comb to fit well in the hair. This rectangular comb has 21 teeth It comes from Boughton Hill a Seneca site from 1670-1687 AD. J.-C. (RMSC 1175/103,none;,21,draft,unk,,,,,,148,qatar_item,combs,"/img/derivatives/iiif/images/149/full/250,/0/default.jpg","/img/derivatives/iiif/images/149/full/1140,/0/default.jpg",/img/derivatives/iiif/149/manifest.json
150,Ganondagan,Ganondagan,1670-1687,RMSC 5009/103,bone,69. Andouiller comb having 13 teeth. Are rectangular handle is perforated with 5 holes forming the negative spaces of the upcoming pattern. One can see above these holes engraved lines used to guide the manufacturer. It measures 9 cm in length and 4.6 cm in width. Its teeth account for 40% of its total length. This comb comes from Burial #14 of Boughton Hill a Seneca site from 1670-1687 AD. J.-C. (RMSC 5009/103). (Kroup et al. 1986: 31,none;,13,draft,funerary,,,,9,4.6,149,qatar_item,combs,"/img/derivatives/iiif/images/150/full/250,/0/default.jpg","/img/derivatives/iiif/images/150/full/1140,/0/default.jpg",/img/derivatives/iiif/150/manifest.json
151,Ganondagan,Ganondagan,1670-1687,RMSC 22 1/103,bone,70. Comb almost complete but very damaged having 17 teeth that form 35% of its total length. It is 8.6 cm long by 4.9 cm wide. The carved handle represents two otters (mirror) whose muzzle touches. The base of the handle also carved seems to represent two birds touching each other by the beak (mirror). Below it are seen triangular and horizontal incised lines. This comb comes from Boughton Hill a Seneca site from 1670-J 687 AD (RMSC 22 1/103). (Kroup et al. $196: 32,mammal; otter; dual; symmetrical;,17,complete,unk,,,,8.6,4.9,150,qatar_item,combs,"/img/derivatives/iiif/images/151/full/250,/0/default.jpg","/img/derivatives/iiif/images/151/full/1140,/0/default.jpg",/img/derivatives/iiif/151/manifest.json
152,Ganondagan,Ganondagan,1670-1687,RMSC 63 10/103,bone,72. Comb in andouiller complete having 1$ teeth. Its rectangular handle is decorated with two semi-oval perforations and incised lines possibly guide lines so it is probably unfinished. It measures 12.3 cm in length and 5.5 cm in width. Teeth form 45% of the comb. It comes from Boughton Hill a Seneca site dating from 1670-1687 AD. J.-C. (RMSC 63 10/103). (Kroup et al. 1986: 34,none;,18,complete,unk,,,,12.3,5.5,151,qatar_item,combs,"/img/derivatives/iiif/images/152/full/250,/0/default.jpg","/img/derivatives/iiif/images/152/full/1140,/0/default.jpg",/img/derivatives/iiif/152/manifest.json
